barcode,name,unit_cost,retail_price,quantity
4800360000000,1X2400KL,786.0,830.0,1X2400KL
0010000040037,1X35KG,1495.0,1540.0,1X35KG
0211000000000,SLIPPER 1x1,35.0,40.0,1x1
0211000000000,SLIPPER 1x12PCS,360.0,395.0,1x12PCS
12748500000000,ARGENTINA CORNEDBEEF100G                                                    12x100G,303.0,319.0,12x100G
0748486000000,ARGENTINA MEATLOAF150G          1X150G,21.67,24.0,1X150G
0024000012130,ATLAS 5X6                                                                        10X100S,132.0,150.0,10X100S
4806520000000,BAYANI TRASH BAG9+9X18,82.0,100.0,9X18
0000002568614,bologna 1X1,140.0,0.0,1X1
94800000000000,C2 APPLE 1000ml                                                    1x1000ml,48.8,58.0,1x1000ml
4800320000000,CALPOL DROPS 1x10ML,59.96,66.0,1x10ML
6971490000000,CHOCO CUBE120S 1X120PCS,105.0,115.0,1X120PCS
4800120000000,CVITRESS CUTICLE COATLASSIC 1X15ML,49.4,56.0,1X15ML
4806520000000,DONEWELL ROLLBAG 20X30 1X1,37.0,42.0,1X1
4800090000000,DOOWEE DONUT WHITECHOCO10s                                                                               1X10Sx420g,94.0,98.0,1X10Sx420g
4806500000000,EXCELLENT GRADE2                                                                                                           1X80s,10.5,16.0,1X80s
104807000000000,EXCELLENT GRADE2 1X10X80S,140.0,155.0,1X10X80S
4806510000000,FISH BALL BOLA-BOLA 1KILOX1,55.0,0.0,1
4800030000000,FLOWER MALLOWS135G                                                                                          135gx1,24.6,30.0,1
0000000038651,FOCUS motifs fancy prints 1REAM x1,120.0,0.0,1
4800090000000,FUDGEE BAR DARK CHOCO10s                                                                  1X10S,72.65,78.0,1X10S
4806500000000,GARDENIA CLASSIC WHITE BREAD 400GX1,44.55,0.0,1
4806500000000,Gardenia toasties 1bagx5pcs.,28.0,0.0,1
904800000000000,GLEAM MURIATIC ACID 6X2KG,780.0,835.0,6X2KG
904800000000000,GREATTASTE CHOCO TWIN50G                               1X24X50G,2811.0,2896.0,1X24X50G
904807000000000,HOTS POCKET NOTEBOOK300'S,1900.0,2250.0,1
0480901000000,ICE CANDY COLA 1x10ML,9.33,1.0,1x10ML
904809000000000,ICE CANDY FRUITY 10x8PACKS,71.0,80.0,10x8PACKS
4806520000000,ICE CANDY MANGO 1BAG X 12PCS,10.8,14.0,1
4806520000000,ICE CANDY YHOGURT  1X1,12.0,14.0,1X1
904807000000000,ICE COLA 12x12,140.0,168.0,12x12
904807000000000,ICE COLA.UNISUN 12x12,140.0,168.0,12x12
4806520000000,ICE COLA.UNISUN 1X12,12.0,14.0,1X12
4809010000000,ICE ganda 1x10PCS,10.84,12.0,1x10PCS
4800020000000,JnJ DEWBERRY BLUEBERRIES N CREAM                                                             1x10s,71.8,78.0,1x10s
4801670000000,JUFRAN SWEET CHILI 1x90g,19.43,22.0,1x90g
90748500000000,L-7 CARNE NORTE150G 48x150g,994.0,1025.0,48x150g
8712050000000,LACTUM 0-6MOS                                                                                                            1X2KG,1291.0,1356.0,1X2KG
